FileName,Leaf#,Total Leaf Size (cm2),Leaf Full Size (cm2) ,Leaf Empty Size (cm2),Leaf Height,Leaf Width
BJ4-3792-lf-00_ed,1,27.725851524732388,27.336341883200966,0.38950964153142265,15.285911602209945,3.21943359375
BJ4-3792-lf-00_ed,2,20.16027872496547,20.155231083822514,0.005047641142955801,13.11049723756906,2.52333984375
BJ4-3792-lf-00_ed,3,58.26492171313881,58.22706440456664,0.037857308572168506,19.984806629834253,5.24970703125
BJ4-3792-lf-00_ed,4,46.84547490072514,45.42708773955456,1.41838716117058,20.941988950276244,4.2345703125
BJ4-3792-lf-00_ed,5,75.87109401976865,75.35875844375863,0.5123355760100138,24.857734806629832,5.7427734375
BJ4-3792-lf-00_ed,6,47.51512862569061,45.95540751251726,1.5597211131733426,21.203038674033145,4.55361328125
BJ4-3792-lf-00_ed,7,78.21572333067162,77.61421276113606,0.6015105695355663,24.161602209944753,5.24970703125
BJ4-3792-lf-00_ed,8,53.22401075837362,51.91078278768129,1.3132279706923344,20.79696132596685,4.90166015625
BJ4-3792-lf-00_ed,9,100.22427998748273,100.05854910328901,0.16573088419371548,27.526243093922652,6.35185546875
BJ4-3792-lf-00_ed,10,29.56066908019682,28.840538943801793,0.7201301363950275,15.459944751381215,3.39345703125
BJ4-3800-lf-01_ed,1,167.29228785393647,167.20816050155386,0.08412735238259668,26.80110497237569,10.6154296875
BJ4-3800-lf-01_ed,2,124.11308297004489,124.08532094375863,0.027762026286256906,21.87016574585635,9.42626953125
BJ4-3800-lf-01_ed,3,281.4177715491195,278.4497585570615,2.968012992058011,31.52900552486188,14.9080078125
BJ4-3821-lf-d1_ed,1,439.55952728440093,439.55952728440093,0.0,37.562154696132595,20.91181640625
BO4-3916-lf-01_ed,1,126.34161653465988,126.34161653465988,0.0,39.534530386740336,4.6986328125
BO4-3916-lf-01_ed,2,163.80857419177312,163.80857419177312,0.0,36.37292817679558,5.24970703125
R11-4066-lf-00_ed,1,8.67100621007424,8.507799146452003,0.16320706362223755,6.468232044198895,1.62421875
R11-4066-lf-00_ed,2,11.034984812025208,10.465442636395029,0.5695421756301795,8.295580110497237,1.94326171875
R11-4066-lf-00_ed,3,9.529105204376727,9.469374784185083,0.059730420191643645,6.845303867403315,1.7982421875
R11-4066-lf-00_ed,4,6.3087101551709255,6.1404554504057325,0.16825470476519336,5.162983425414365,1.59521484375
R11-4066-lf-00_ed,5,7.856653439010705,7.660636707959254,0.19601673105145026,5.946132596685084,1.6822265625
R11-4066-lf-00_ed,6,12.56105498424551,11.935988756042818,0.6250662282026934,9.19475138121547,1.7982421875
R11-4066-lf-00_ed,7,11.592749158321825,11.49347888251036,0.09927027581146408,8.41160220994475,1.9142578125
R11-4066-lf-00_ed,8,9.971615077909185,9.843741502287639,0.12787357562154697,7.570441988950276,1.76923828125
R11-4066-lf-00_ed,9,12.635087054342195,12.198466095476519,0.43662095886567676,8.904696132596685,2.08828125
R11-4066-lf-00_ed,10,5.482579554773825,5.443880972677831,0.03869858209599448,4.49585635359116,1.6822265625
S06-1576-lf-02_ed,1,199.8924781757165,199.43987301989813,0.45260515581837013,25.87292817679558,11.97861328125
S06-1576-lf-02_ed,2,122.19245551515021,120.2221929223498,1.9702625928004145,20.477900552486187,8.9912109375
S06-1576-lf-02_ed,3,217.55753962901417,214.9958617489641,2.5616778800500692,29.90469613259669,11.1375
S19-1039-lf-02_ed,1,39.524712696391575,39.524712696391575,0.0,16.12707182320442,6.75791015625
S19-1039-lf-02_ed,2,23.017243611878452,22.96508465340124,0.052158958477209943,8.933701657458565,7.22197265625
S19-1039-lf-02_ed,3,33.822560751899175,33.67786170580111,0.1446990460980663,15.546961325966851,7.10595703125
S19-1039-lf-02_ed,4,24.41123384085808,24.41123384085808,0.0,9.832872928176794,5.24970703125
S19-1039-lf-02_ed,5,34.65373899343923,34.29199137819406,0.36174761524516574,14.444751381215468,7.076953125
S23-0744-lf-02_ed,1,161.59602482411086,160.51835344008978,1.0776713840210634,22.45027624309392,11.28251953125
S23-0744-lf-02_ed,2,150.3162294166523,150.11348249741025,0.202746919242058,21.58011049723757,11.6015625
S23-0744-lf-02_ed,3,154.0262456567248,153.6283232799551,0.39792237676968234,22.8853591160221,11.485546875
S23-0744-lf-02_ed,4,76.36492157825448,76.21012724987051,0.1547943283839779,17.40331491712707,7.51201171875
S25-1708-lf-04_ed,1,137.5103638369734,137.15366386287118,0.35669997410220994,29.6146408839779,19.40361328125
S25-1708-lf-04_ed,2,95.48538622777107,94.98398720757079,0.5013990202002763,13.51657458563536,14.47294921875
S25-1708-lf-04_ed,3,59.40905370554213,59.40905370554213,0.0,18.62154696132597,11.949609375
S25-1736-lf-02_ed,1,32.22077596253453,32.22077596253453,0.0,11.05110497237569,5.42373046875
S25-1736-lf-02_ed,2,33.7392746730404,29.643113885531765,4.096160787508633,10.732044198895027,4.3505859375
S25-1736-lf-02_ed,3,26.606116464520028,24.531535954765193,2.0745805097548344,10.267955801104971,4.55361328125
S25-1736-lf-02_ed,4,80.13550951204246,79.53568148955455,0.5998280224879143,19.14364640883978,7.3669921875
S25-1736-lf-02_ed,5,18.535779550457526,18.270778390452346,0.26500116000517954,10.209944751381215,3.4224609375
